num_players,num_rounds,round_index,pairs
16,14,12,"(0,14);(1,11);(2,9);(3,7);(4,12);(5,13);(6,15);(8,10)"
16,14,13,"(0,2);(1,9);(3,15);(4,5);(6,10);(7,14);(8,13);(11,12)"
16,15,0,"(0,1);(2,5);(3,6);(4,9);(7,13);(8,12);(10,15);(11,14)"
16,15,1,"(0,2);(1,9);(3,4);(5,8);(6,11);(7,10);(12,14);(13,15)"
16,15,2,"(0,3);(1,7);(2,4);(5,9);(6,12);(8,11);(10,13);(14,15)"
16,15,3,"(0,4);(1,2);(3,7);(5,10);(6,8);(9,11);(12,15);(13,14)"
16,15,4,"(0,5);(1,8);(2,3);(4,6);(7,9);(10,14);(11,15);(12,13)"
16,15,5,"(0,6);(1,3);(2,11);(4,5);(7,15);(8,13);(9,14);(10,12)"
16,15,6,"(0,7);(1,6);(2,8);(3,15);(4,12);(5,14);(9,10);(11,13)"
16,15,7,"(0,9);(1,4);(2,7);(3,12);(5,13);(6,14);(8,15);(10,11)"
16,15,8,"(0,11);(1,10);(2,6);(3,5);(4,15);(7,12);(8,14);(9,13)"
16,15,9,"(0,10);(1,5);(2,9);(3,8);(4,13);(6,15);(7,14);(11,12)"
16,15,10,"(0,13);(1,14);(2,10);(3,11);(4,8);(5,15);(6,7);(9,12)"
16,15,11,"(0,12);(1,13);(2,15);(3,14);(4,7);(5,11);(6,10);(8,9)"
16,15,12,"(0,14);(1,12);(2,13);(3,10);(4,11);(5,6);(7,8);(9,15)"
16,15,13,"(0,15);(1,11);(2,12);(3,13);(4,14);(5,7);(6,9);(8,10)"
16,15,14,"(0,8);(1,15);(2,14);(3,9);(4,10);(5,12);(6,13);(7,11)"
17,17,0,"(1,5);(2,3);(4,6);(7,9);(8,10);(11,13);(12,16);(14,15)"
17,17,1,"(0,3);(2,4);(5,8);(6,9);(7,11);(10,13);(12,15);(14,16)"
17,17,2,"(0,1);(3,4);(5,6);(7,10);(8,9);(11,14);(12,13);(15,16)"
17,17,3,"(0,2);(1,6);(3,7);(5,9);(8,12);(10,15);(11,16);(13,14)"
